"","Id","contry","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"55","55","Tunisia","317010","","11208","","272505","","33297","529","26588","940","1344853","112795","11922985","Africa","38","1064","9",NA,NA,"2793"
"56","56","Bolivia","314190","1783","13151","28","258068","791","42971","158","26610","1114","1226152","103847","11807250","South America","38","898","10","151","2","3639"
"57","57","Palestine","300387","","3326","","281586","","15475","133","57755","639","1763038","338979","5201028","Asia","17","1564","3",NA,NA,"2975"
"58","58","Paraguay","291540","","6883","","241040","","43617","545","40456","955","1133277","157259","7206431","South America","25","1047","6",NA,NA,"6053"
"59","59","Kuwait","281772","","1621","","265530","","14621","199","65168","375","2379181","550254","4323790","Asia","15","2667","2",NA,NA,"3382"
"60","60","Dominican Republic","269184","","3514","","230033","","35637","215","24606","321","1423534","130125","10939729","North America","41","3113","8",NA,NA,"3258"
"61","61","Costa Rica","263094","","3341","","211043","","48710","409","51251","651","1025064","199685","5133393","North America","20","1536","5",NA,NA,"9489"
"62","62","Ethiopia","260802","","3822","","205458","","51522","748","2222","33","2604376","22192","117354224","Africa","450","30705","45",NA,NA,"439"
"63","63","Denmark","257505","1023","2495","2","244364","646","10646","34","44325","429","41474152","7139078","5809455","Europe","23","2328","0","176","0.3","1833"
"64","64","Lithuania","255384","1244","4019","15","229667","971","21698","186","94938","1494","2935816","1091380","2690004","Europe","11","669","1","462","6","8066"
"65","65","Moldova","252153","","5912","","242363","","3878","178","62631","1468","1007539","250257","4026019","Europe","16","681","4",NA,NA,"963"
"66","66","Ireland","251904","430","4921","","234404","412","12579","34","50539","987","4599866","922867","4984323","Europe","20","1013","1","86",NA,"2524"
"67","67","Slovenia","245159","606","4285","3","231559","957","9315","142","117911","2061","1199033","576686","2079180","Europe","8","485","2","291","1","4480"
"68","68","Egypt","234015","","13714","","175117","","45184","90","2251","132","2715258","26119","103958380","Africa","444","7580","38",NA,NA,"435"
"69","69","Guatemala","232439","","7677","","210369","","14393","5","12775","422","1291245","70969","18194446","North America","78","2370","14",NA,NA,"791"
"70","70","Armenia","218681","356","4209","17","203307","1034","11165","","73681","1418","1008307","339734","2967930","Asia","14","705","3","120","6","3762"
"71","71","Honduras","217595","631","5502","63","80583","658","131510","561","21679","548","645503","64310","10037294","North America","46","1824","16","63","6","13102"
"72","72","Uruguay","213449","","2972","","184506","","25971","539","61267","853","1873060","537631","3483913","South America","16","1172","2",NA,NA,"7455"
"73","73","Qatar","210070","600","496","3","199444","1217","10130","274","74816","177","1937204","689935","2807805","Asia","13","5661","1","214","1","3608"
"74","74","Venezuela","204057","","2244","","186388","","15425","317","7193","79","3359014","118410","28367663","South America","139","12642","8",NA,NA,"544"
"75","75","Bosnia and Herzegovina","200693","340","8790","28","164717","1272","27186","","61496","2693","922568","282692","3263509","Europe","16","371","4","104","9","8330"
"76","76","Oman","199344","","2083","","181696","","15565","283","38221","399","1550000","297184","5215629","Asia","26","2504","3",NA,NA,"2984"
"77","77","Bahrain","184697","","670","","172006","","12021","101","105479","383","4189757","2392728","1751038","Asia","9","2613","0",NA,NA,"6865"
"78","78","Libya","179697","504","3063","4","165931","427","10703","","25855","441","972747","139962","6950060","Africa","39","2269","7","73","0.6","1540"
"79","79","Nigeria","165301","","2065","","155424","","7812","11","786","10","1939165","9215","210428775","Africa","1273","101903","109",NA,NA,"37"
"80","80","Kenya","162098","","2850","","110480","","48768","190","2960","52","1701385","31066","54766675","Africa","338","19216","32",NA,NA,"890"
"81","81","North Macedonia","153461","","5042","","136545","","11874","124","73662","2420","731997","351364","2083302","Europe","14","413","3",NA,NA,"5700"
"82","82","Myanmar","142903","29","3210","","132000","1","7693","","2612","59","2586547","47270","54718013","Asia","383","17046","21","0.5",NA,"141"
"83","83","Albania","131510","","2406","","114362","","14742","18","45740","837","647277","225129","2875135","Europe","22","1195","4",NA,NA,"5127"
"84","84","S. Korea","126044","525","1860","9","116022","531","8162","162","2457","36","9051354","176417","51306536","Asia","407","27584","6","10","0.2","159"
"85","85","Estonia","124529","383","1193","6","115060","442","8276","50","93822","899","1318022","993017","1327290","Europe","11","1113","1","289","5","6235"
"86","86","Algeria","123473","","3307","","86007","","34159","28","2774","74","230861","5186","44517482","Africa","361","13462","193",NA,NA,"767"
"87","87","Latvia","122545","1036","2197","19","111473","569","8875","81","65585","1176","2362996","1264657","1868487","Europe","15","850","1","554","10","4750"
