"World-country-continental","contry","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"S. Korea","127309","564","1874","9","117423","542","8012","160","2481","37","9105771","177477","51306776","Asia","403","27378","6","11","0.2","156"
"Sri Lanka","125906","2672","786","","104463","1365","20657","","5859","37","2925946","136156","21489665","Asia","171","27341","7","124",NA,"961"
"Estonia","125126","157","1201","6","115908","209","8017","43","94271","905","1328823","1001151","1327295","Europe","11","1105","1","118","5","6040"
"Algeria","124104","204","3328","7","86420","140","34356","28","2787","75","230861","5185","44521815","Africa","359","13378","193","5","0.2","772"
"Latvia","123963","632","2212","4","113214","1064","8537","81","66348","1184","2400457","1284785","1868373","Europe","15","845","1","338","2","4569"
"Norway","116365","231","767","","88952","","26646","27","21323","141","5337838","978113","5457279","Europe","47","7115","1","42",NA,"4883"
"Cuba","115981","1069","732","10","109363","915","5886","127","10245","65","3837345","338966","11320723","North America","98","15465","3","94","0.9","520"
"Kyrgyzstan","98400","321","1655","6","91559","292","5186","85","14874","250","1026019","155095","6615429","Asia","67","3997","6","49","0.9","784"
"Montenegro","98303","66","1540","4","94963","160","1800","64","156500","2452","386071","614632","628134","Europe","6","408","2","105","6","2866"
"Uzbekistan","94397","419","662","","90053","350","3682","23","2786","20","1377915","40670","33880631","Asia","359","51179","25","12",NA,"109"
"Ghana","92856","","783","","90480","","1593","6","2936","25","1108763","35063","31621814","Africa","341","40385","29",NA,NA,"50"
"Zambia","92057","","1257","","90363","","437","33","4892","67","1436254","76322","18818471","Africa","204","14971","13",NA,NA,"23"
"Finland","88723","162","922","","46000","","41801","28","15992","166","4641541","836607","5548052","Europe","63","6017","1","29",NA,"7534"
"Thailand","83375","2101","399","17","53605","2186","29371","1138","1192","6","8124896","116154","69949125","Asia","839","175311","9","30","0.2","420"
"Cameroon","74946","","1152","","70497","","3297","385","2765","43","1518411","56021","27104195","Africa","362","23528","18",NA,NA,"122"
"El Salvador","70380","","2154","4","65921","","2305","28","10804","331","936793","143811","6514053","North America","93","3024","7",NA,"0.6","354"
